symbol,isin,company_name,is_owner_company,stage1_promoter_ge_10,owner_family,owner_flag,owner_flag_final_hybrid,yaml_classification,promoter_total_pct,natural_pct_sum,in_rev1,rev1_category,is_nifty50,is_nifty100,is_nifty200,is_nifty500,is_nifty_total_mkt
ASIANPAINT,INE021A01026,Asian Paints Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,52.63,10.48,True,Owner,True,True,True,True,True
ASKAUTOLTD,INE491J01022,ASK Automotive Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,74.95,74.95,False,,False,False,False,False,True
ASTERDM,INE914M01019,Aster DM Healthcare Limited,True,True,,owner_probable_nri_family,OWNER,UNKNOWN,40.39,2.08,True,Owner,False,False,False,True,True
ASTRAL,INE006I01046,Astral Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,54.22,39.13,True,Owner,False,False,True,True,True
ATHERENERG,INE0LEZ01016,Ather Energy Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,40.86,10.13,False,,False,False,False,True,True
ATLANTAELE,INE0Z4F01028,Atlanta Electricals Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,87.27,31.27,False,,False,False,False,False,True
ATUL,INE100A01010,Atul Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,45.22,2.52,True,Owner,False,False,False,True,True
AUBANK,INE949L01017,AU Small Finance Bank Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,22.79,23.17,True,Owner,False,False,True,True,True
AURIONPRO,INE132H01018,Aurionpro Solutions Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,26.88,33.37,False,,False,False,False,False,True
AUROPHARMA,INE406A01037,Aurobindo Pharma Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,51.82,15.22,True,Owner,False,False,True,True,True
AVALON,INE0LCL01028,Avalon Technologies Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,44.43,32.41,True,Owner,False,False,False,False,True
AVANTIFEED,INE871C01038,Avanti Feeds Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,43.23,13.48,True,Owner,False,False,False,False,True
AVL,INE679V01027,Aditya Vision Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,47.14,47.14,True,Owner,False,False,False,False,True
AWFIS,INE108V01019,Awfis Space Solutions Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,17.0,18.19,False,,False,False,False,False,True
AZAD,INE02IJ01035,Azad Engineering Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,55.84,56.12,False,,False,False,False,False,True
BALAMINES,INE050E01027,Balaji Amines Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,54.59,39.79,False,,False,False,False,False,True
BALKRISIND,INE787D01026,Balkrishna Industries Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,58.29,33.09,True,Owner,False,False,False,True,True
BALRAMCHIN,INE119A01028,Balrampur Chini Mills Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,42.85,6.99,True,Owner,False,False,False,True,True
BALUFORGE,INE011E01029,Balu Forge Industries Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,53.99,53.99,False,,False,False,False,False,True
BANCOINDIA,INE213C01025,Banco Products (I) Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,67.88,64.96,False,,False,False,False,False,True
BCG,INE425B01027,Brightcom Group Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,18.38,3.25,True,Owner,False,False,False,False,False
BECTORFOOD,INE495P01020,Mrs. Bectors Food Specialities Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,49.04,23.75,False,,False,False,False,False,True
BELRISE,INE894V01022,Belrise Industries Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,66.46,66.29,False,,False,False,False,True,True
BERGEPAINT,INE463A01038,Berger Paints (I) Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,74.98,3.34,True,Owner,False,False,False,True,True
BHARATFORG,INE465A01025,Bharat Forge Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,44.07,0.34,True,Owner,False,False,True,True,True
BIKAJI,INE00E101023,Bikaji Foods International Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,73.88,73.91,True,Owner,False,False,False,True,True
BIOCON,INE376G01013,Biocon Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,44.68,30.71,True,Owner,False,False,True,True,True
BIRLACORPN,INE340A01012,Birla Corporation Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,62.9,0.0,True,Owner,False,False,False,False,True
BLACKBUCK,INE0UIZ01018,BLACKBUCK LIMITED,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,25.12,25.12,False,,False,False,False,False,True
BLS,INE153T01027,BLS International Services Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,70.39,26.65,True,Owner,False,False,False,True,True
BLUEJET,INE0KBH01020,Blue Jet Healthcare Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,79.81,79.81,False,,False,False,False,True,True
BLUESTARCO,INE472A01039,Blue Star Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,36.49,9.93,True,Owner,False,False,True,True,True
BLUESTONE,INE304W01038,BlueStone Jewellery and Lifestyle Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,16.36,16.43,False,,False,False,False,False,True
BORORENEW,INE666D01022,BOROSIL RENEWABLES LIMITED,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,58.77,9.03,True,Owner,False,False,False,False,True
BRIGADE,INE791I01019,Brigade Enterprises Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,41.11,40.74,False,,False,False,False,True,True
CAMLINFINE,INE052I01032,Camlin Fine Sciences Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,48.03,14.21,True,Owner,False,False,False,False,False
CAMPUS,INE278Y01022,Campus Activewear Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,72.11,68.14,True,Owner,False,False,False,False,True
CAPILLARY,INE0ILV01024,Capillary Technologies India Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,52.23,3.46,False,,False,False,False,False,True
CAPLIPOINT,INE475E01026,Caplin Point Laboratories Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,70.57,67.34,False,,False,False,False,True,True
CARBORUNIV,INE120A01034,Carborundum Universal Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,38.9,4.39,True,Owner,False,False,False,True,True
CCAVENUE,INE483S01020,AvenuesAI Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,27.29,34.5,True,Owner,False,False,False,False,True
CCL,INE421D01022,CCL Products (India) Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,46.11,46.86,True,Owner,False,False,False,True,True
CEATLTD,INE482A01020,CEAT Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,47.21,0.38,True,Owner,False,False,False,True,True
CELLO,INE0LMW01024,Cello World Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,75.0,57.34,False,,False,False,False,False,True
CENTURYPLY,INE348B01021,Century Plyboards (India) Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,71.83,54.17,True,Owner,False,False,False,False,True
CERA,INE739E01017,Cera Sanitaryware Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,54.41,21.83,True,Owner,False,False,False,False,True
CGCL,INE180C01042,Capri Global Capital Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,59.92,0.0,True,Owner,False,False,False,True,True
CGPOWER,INE067A01029,CG Power and Industrial Solutions Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,56.36,0.04,True,Owner,False,True,True,True,True
CHALET,INE427F01016,Chalet Hotels Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,67.33,13.14,True,Owner,False,False,False,True,True
CHAMBLFERT,INE085A01013,Chambal Fertilizers & Chemicals Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,60.85,6.41,True,Owner,False,False,False,True,True
CHEMPLASTS,INE488A01050,Chemplast Sanmar Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,54.99,0.0,True,Owner,False,False,False,False,False
CHOICEIN,INE102B01014,Choice International Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,53.65,46.54,True,Owner,False,False,False,True,True
CHOLAFIN,INE121A01024,Cholamandalam Investment and Finance Company Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,49.72,0.92,True,Owner,False,True,True,True,True
CHOLAHLDNG,INE149A01033,Cholamandalam Financial Holdings Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,46.38,4.23,True,Owner,False,False,False,True,True
CIPLA,INE059A01026,Cipla Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,29.21,29.24,True,Owner,True,True,True,True,True
CLEAN,INE227W01023,Clean Science and Technology Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,50.96,50.96,True,Owner,False,False,False,True,True
CONCORDBIO,INE338H01029,Concord Biotech Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,44.08,39.74,True,Owner,False,False,False,True,True
COROMANDEL,INE169A01031,Coromandel International Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,56.86,0.47,True,Owner,False,False,True,True,True
CORONA,INE02ZQ01018,CORONA Remedies Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,69.0,69.0,False,,False,False,False,False,True
CPPLUS,INE819V01029,Aditya Infotech Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,76.91,60.13,False,,False,False,False,True,True
CRAFTSMAN,INE00LO01017,Craftsman Automation Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,48.7,48.7,True,Owner,False,False,False,True,True
CRIZAC,INE0S4R01014,Crizac Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,79.94,79.94,False,,False,False,False,False,True
CUPID,INE509F01029,Cupid Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,46.03,33.12,False,,False,False,False,False,True
CYIENT,INE136B01020,Cyient Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,23.29,4.35,True,Owner,False,False,False,True,True
DABUR,INE016A01026,Dabur India Limited,True,True,,owner_confirmed_individual_and_director,OWNER,PROFESSIONAL,66.23,0.46,True,Owner,False,False,True,True,True
DALBHARAT,INE00R701025,Dalmia Bharat Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,55.84,0.01,True,Owner,False,False,False,True,True
DALMIASUG,INE495A01022,Dalmia Bharat Sugar and Industries Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,74.91,0.26,True,Owner,False,False,False,False,False
DATAMATICS,INE365B01017,Datamatics Global Services Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,66.33,48.24,False,,False,False,False,False,True
DATAPATTNS,INE0IX101010,Data Patterns (India) Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,42.41,47.26,True,Owner,False,False,False,True,True
DBL,INE917M01012,Dilip Buildcon Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,63.14,63.14,True,Owner,False,False,False,False,True
DBREALTY,INE879I01012,Valor Estate Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,47.45,0.62,True,Owner,False,False,False,False,True
DCAL,INE385W01011,Dishman Carbogen Amcis Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,59.32,0.0,True,Owner,False,False,False,False,False
DCMSHRIRAM,INE499A01024,DCM Shriram Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,66.52,3.6,True,Owner,False,False,False,True,True
DCXINDIA,INE0KL801015,DCX Systems Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,52.16,3.75,True,Owner,False,False,False,False,False
DEEPAKFERT,INE501A01019,Deepak Fertilizers and Petrochemicals Corporation Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,45.63,0.79,True,Owner,False,False,False,True,True
DEEPAKNTR,INE288B01029,Deepak Nitrite Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,49.33,17.23,True,Owner,False,False,False,True,True
DELTACORP,INE124G01033,Delta Corp Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,34.47,1.18,True,Owner,False,False,False,False,False
DIACABS,INE989C01038,Diamond Power Infrastructure Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,84.02,46.49,False,,False,False,False,False,True
DIVISLAB,INE361B01024,Divi's Laboratories Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,51.88,49.15,True,Owner,False,True,True,True,True
DIXON,INE935N01020,Dixon Technologies (India) Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,28.83,12.86,True,Owner,False,False,True,True,True
DLF,INE271C01023,DLF Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,74.08,0.96,True,Owner,False,True,True,True,True
DMART,INE192R01011,Avenue Supermarts Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,74.65,39.95,True,Owner,False,True,True,True,True
DODLA,INE021O01019,Dodla Dairy Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,58.92,26.18,True,Owner,False,False,False,False,False
DOMS,INE321T01012,DOMS Industries Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,70.39,44.37,False,,False,False,False,True,True
DREAMFOLKS,INE0JS101016,Dreamfolks Services Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,65.72,65.99,True,Owner,False,False,False,False,False
DRREDDY,INE089A01031,Dr. Reddy's Laboratories Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,26.64,6.07,True,Owner,True,True,True,True,True
DYNAMATECH,INE221B01012,Dynamatic Technologies Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,41.87,7.71,False,,False,False,False,False,True
EASEMYTRIP,INE07O001026,Easy Trip Planners Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,47.72,47.72,True,Owner,False,False,False,False,False
ECLERX,INE738I01010,eClerx Services Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,54.52,54.57,True,Owner,False,False,False,True,True
EDELWEISS,INE532F01054,Edelweiss Financial Services Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,32.69,28.27,True,Owner,False,False,False,False,True
EICHERMOT,INE066A01021,Eicher Motors Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,49.06,3.36,True,Owner,True,True,True,True,True
EIDPARRY,INE126A01031,EID Parry India Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,41.44,1.98,True,Owner,False,False,False,True,True
EIEL,INE0LLY01014,Enviro Infra Engineers Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,70.13,70.13,False,,False,False,False,False,True
EIHOTEL,INE230A01023,EIH Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,32.85,2.1,True,Owner,False,False,False,True,True
ELECON,INE205B01031,Elecon Engineering Company Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,59.27,4.48,True,Owner,False,False,False,True,True
ELECTCAST,INE086A01029,Electrosteel Castings Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,50.13,8.57,True,Owner,False,False,False,False,True
ELGIEQUIP,INE285A01027,Elgi Equipments Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,31.19,10.95,True,Owner,False,False,False,True,True
ELLEN,INE236E01022,Ellenbarrie Industrial Gases Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,77.16,77.16,False,,False,False,False,False,True
EMAMILTD,INE548C01032,Emami Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,54.84,7.1,True,Owner,False,False,False,True,True
EMBDL,INE069I01010,Embassy Developments Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,42.65,1.56,True,Owner,False,False,False,False,True
EMCURE,INE168P01015,Emcure Pharmaceuticals Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,77.87,62.74,False,,False,False,False,True,True
EMMVEE,INE1C6T01020,Emmvee Photovoltaic Power Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,80.03,80.03,False,,False,False,False,True,True
ENDURANCE,INE913H01037,Endurance Technologies Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,75.0,30.85,True,Owner,False,False,False,True,True
ENTERO,INE010601016,Entero Healthcare Solutions Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,52.42,14.41,False,,False,False,False,False,True
ERIS,INE406M01024,Eris Lifesciences Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,54.85,54.89,True,Owner,False,False,False,True,True
ETHOSLTD,INE04TZ01018,Ethos Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,50.59,0.29,False,,False,False,False,False,True
EXIDEIND,INE302A01020,Exide Industries Limited,True,True,,owner_probable_nri_family,OWNER,UNKNOWN,45.99,45.99,True,Owner,False,False,True,True,True
FINCABLES,INE235A01022,Finolex Cables Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,35.86,5.16,True,Owner,False,False,False,True,True
FINEORG,INE686Y01026,Fine Organic Industries Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,75.0,75.02,True,Owner,False,False,False,False,False
FINPIPE,INE183A01024,Finolex Industries Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,52.47,1.11,True,Owner,False,False,False,False,True
FIVESTAR,INE128S01021,Five-Star Business Finance Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,18.56,18.98,True,Owner,False,False,False,True,True
FLFL,INE452O01016,Future Lifestyle Fashions Limited,True,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,20.3,0.01,True,Owner,False,False,False,False,False
FLUOROCHEM,INE09N301011,Gujarat Fluorochemicals Limited,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,61.39,0.05,True,Owner,False,False,False,True,True
FORCEMOT,INE451A01017,FORCE MOTORS LTD,True,True,,owner_confirmed_individual,OWNER,UNKNOWN,61.63,4.26,True,Owner,False,False,False,True,True
FUSION,INE139R01012,Fusion Finance Limited,True,True,,ambiguous_mnc_jv_candidate,OWNER,UNKNOWN,54.92,2.89,True,Owner,False,False,False,False,False
